GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inventory-management-system,com.inventorymanagement.inventory.model,InventoryTransaction,0,240,0,30,0,62,0,45,0,30
inventory-management-system,com.inventorymanagement.inventory.model,SkuDto,33,269,1,11,13,92,3,63,2,58
inventory-management-system,com.inventorymanagement.inventory.model,Sku,100,446,6,34,16,120,10,63,4,49
inventory-management-system,com.inventorymanagement.inventory.model,InventoryTransaction.TransactionType,0,49,0,0,0,10,0,3,0,3
inventory-management-system,com.inventorymanagement.common.model,ErrorResponse.ValidationError,0,103,0,12,0,25,0,17,0,11
inventory-management-system,com.inventorymanagement.common.model,BulkOperationResponse.BulkOperationError,13,113,5,9,2,28,6,14,1,12
inventory-management-system,com.inventorymanagement.common.model,PagedResponse.PageLinks,0,186,4,16,0,38,4,22,0,16
inventory-management-system,com.inventorymanagement.common.model,ApiResponse,0,225,0,16,0,56,0,34,0,26
inventory-management-system,com.inventorymanagement.common.model,PagedResponse,0,161,2,12,0,43,2,19,0,14
inventory-management-system,com.inventorymanagement.common.model,PagedResponse.PageMetadata,0,174,3,11,0,43,3,25,0,21
inventory-management-system,com.inventorymanagement.common.model,BulkOperationRequest.BulkOperationOptions,48,103,9,5,7,25,7,13,1,12
inventory-management-system,com.inventorymanagement.product.controller,ProductController,12,517,13,21,2,126,11,20,0,14
inventory-management-system,com.inventorymanagement.category.model,CategoryDto,96,136,12,0,20,58,11,39,5,39
inventory-management-system,com.inventorymanagement.category.model,Category,167,187,16,10,34,54,18,30,8,27
inventory-management-system,com.inventorymanagement.common.controller,HealthController,50,166,2,0,12,35,2,5,1,5
inventory-management-system,com.inventorymanagement.common.controller,DatabaseExplorerController,377,0,10,0,84,0,11,0,6,0
inventory-management-system,com.inventorymanagement.product.model,Product,135,300,27,21,32,73,24,49,6,43
inventory-management-system,com.inventorymanagement.product.model,ProductDto,104,178,12,0,22,76,11,51,5,51
inventory-management-system,com.inventorymanagement.product.service,ProductService,280,571,19,45,51,136,23,45,10,26
inventory-management-system,com.inventorymanagement.product.service,ProductService.ProductStatistics,21,0,0,0,8,0,4,0,4,0
inventory-management-system,com.inventorymanagement.common.exception,GlobalExceptionHandler,204,574,11,11,54,158,14,18,5,16
inventory-management-system,com.inventorymanagement.category.controller,CategoryController,14,475,8,20,1,118,8,20,0,14
inventory-management-system,com.inventorymanagement.category.service,CategoryService,313,606,32,68,70,150,33,48,9,22
inventory-management-system,com.inventorymanagement.common.config,CorrelationIdFilter,1,66,2,6,1,20,3,8,1,6
inventory-management-system,com.inventorymanagement.common.config,PerformanceLoggingAspect,126,203,20,16,25,43,14,13,1,8
inventory-management-system,com.inventorymanagement.common.config,DatabaseConfig,0,78,0,0,0,21,0,5,0,5
inventory-management-system,com.inventorymanagement.common.config,LoggingConfig.AuditExamples,79,0,0,0,14,0,6,0,6,0
inventory-management-system,com.inventorymanagement.category.repository,CategoryRepository,0,38,2,4,0,7,2,2,0,1
inventory-management-system,com.inventorymanagement.inventory.controller,SkuController,83,545,16,18,20,127,12,24,0,19
inventory-management-system,com.inventorymanagement.inventory.service,SkuService,431,859,36,64,83,197,33,58,9,32
inventory-management-system,com.inventorymanagement.inventory.service,InventoryService,6,578,2,38,1,129,2,40,0,20
inventory-management-system,com.inventorymanagement.inventory.service,InventoryService.StockMovementSummary,0,43,0,0,0,14,0,7,0,7
inventory-management-system,com.inventorymanagement.inventory.service,InventoryService.CurrentStockInfo,0,45,0,0,0,16,0,8,0,8
